Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S92000003,d,45-64 years,,Females,,Coronary Heart Disease,226,,30.33105135,,30.83474537
2012,S92000003,d,65-74 years,,Males,,Coronary Heart Disease,1023,,428.0710857,,439.227442
2012,S92000003,d,65-74 years,,Females,,Coronary Heart Disease,487,,181.5071429,,184.699602
2012,S92000003,d,75plus years,,Males,,Coronary Heart Disease,2243,,1367.757987,,1501.799926
2012,S92000003,d,75plus years,,Females,,Coronary Heart Disease,2545,,1000.149335,,975.3050303
2013,S08000015,,0-44 years,,Males,,Coronary Heart Disease,7,,7.558497371,,8.095560401
2013,S08000015,,0-44 years,,Females,,Coronary Heart Disease,2,,2.1038237,,2.18925735
2013,S08000015,,45-64 years,,Males,,Coronary Heart Disease,75,,144.7317638,,143.5212863
2013,S08000015,,45-64 years,,Females,,Coronary Heart Disease,23,,40.85402679,,41.09464722
2013,S08000015,,65-74 years,,Males,,Coronary Heart Disease,95,,466.7845912,,478.0446897
2013,S08000015,,65-74 years,,Females,,Coronary Heart Disease,46,,202.9381921,,212.3585047
2013,S08000015,,75plus years,,Males,,Coronary Heart Disease,206,,1530.688067,,1604.732676
2013,S08000015,,75plus years,,Females,,Coronary Heart Disease,213,,1066.653313,,1044.312592
2013,S08000016,,0-44 years,,Males,,Coronary Heart Disease,1,,3.782434375,,3.381054503
2013,S08000016,,0-44 years,,Females,,Coronary Heart Disease,1,,3.711539175,,4.361696825
2013,S08000016,,45-64 years,,Males,,Coronary Heart Disease,14,,81.69934641,,81.00142529
2013,S08000016,,45-64 years,,Females,,Coronary Heart Disease,2,,11.33144476,,11.36343908
2013,S08000016,,65-74 years,,Males,,Coronary Heart Disease,21,,300.6872852,,311.6573959
2013,S08000016,,65-74 years,,Females,,Coronary Heart Disease,7,,93.95973154,,98.37024749
2013,S08000016,,75plus years,,Males,,Coronary Heart Disease,62,,1304.439301,,1537.301554
