FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDischargesQF,CrudeRate,CrudeRateQF,EASR
2012/13,S08000026,,Elective,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000026,,Elective,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,274.7324427
2012/13,S08000026,,Elective,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,126.5562087
2012/13,S08000026,,Elective,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,384.5884903
2012/13,S08000026,,Elective,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,82.23069448
2012/13,S08000026,,Elective,,75plus years,,Males,,Coronary Heart Disease,,c,,c,130.7189542
2012/13,S08000026,,Elective,,75plus years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000028,,Elective,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2012/13,S08000028,,Elective,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000028,,Elective,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,257.5332929
2012/13,S08000028,,Elective,,45-64 years,,Females,,Coronary Heart Disease,,c,,c,48.25171114
2012/13,S08000028,,Elective,,65-74 years,,Males,,Coronary Heart Disease,,c,,c,1616.317487
2012/13,S08000028,,Elective,,65-74 years,,Females,,Coronary Heart Disease,,c,,c,365.0578277
2012/13,S08000028,,Elective,,75plus years,,Males,,Coronary Heart Disease,,c,,c,711.7030607
2012/13,S08000028,,Elective,,75plus years,,Females,,Coronary Heart Disease,,c,,c,224.7622083
2012/13,S08000029,,Elective,,0-44 years,,Males,,Coronary Heart Disease,12,,12.2652984,,12.88774239
2012/13,S08000029,,Elective,,0-44 years,,Females,,Coronary Heart Disease,5,,5.03884953,,4.663018367
2012/13,S08000029,,Elective,,45-64 years,,Males,,Coronary Heart Disease,179,,359.5171624,,363.960364
2012/13,S08000029,,Elective,,45-64 years,,Females,,Coronary Heart Disease,41,,78.54105207,,79.07324188
2012/13,S08000029,,Elective,,65-74 years,,Males,,Coronary Heart Disease,102,,569.1646672,,572.9804121
2012/13,S08000029,,Elective,,65-74 years,,Females,,Coronary Heart Disease,69,,352.0767425,,352.4362746
2012/13,S08000029,,Elective,,75plus years,,Males,,Coronary Heart Disease,47,,394.9247962,,368.841118
2012/13,S08000029,,Elective,,75plus years,,Females,,Coronary Heart Disease,27,,152.2585011,,155.2243628
2012/13,S08000030,,Elective,,0-44 years,,Males,,Coronary Heart Disease,8,,7.31542274,,8.10217727
2012/13,S08000030,,Elective,,0-44 years,,Females,,Coronary Heart Disease,6,,5.487319719,,5.295411605
2012/13,S08000030,,Elective,,45-64 years,,Males,,Coronary Heart Disease,198,,359.2162554,,359.6072789
2012/13,S08000030,,Elective,,45-64 years,,Females,,Coronary Heart Disease,59,,102.510642,,102.6427942
2012/13,S08000030,,Elective,,65-74 years,,Males,,Coronary Heart Disease,157,,781.6389525,,791.012759
2012/13,S08000030,,Elective,,65-74 years,,Females,,Coronary Heart Disease,59,,262.2455329,,264.4857782
2012/13,S08000030,,Elective,,75plus years,,Males,,Coronary Heart Disease,72,,478.9144606,,460.7916081
2012/13,S08000030,,Elective,,75plus years,,Females,,Coronary Heart Disease,42,,184.6478502,,188.7619492
2012/13,S08000031,,Elective,,0-44 years,,Males,,Coronary Heart Disease,50,,15.356737,,17.09295446
2012/13,S08000031,,Elective,,0-44 years,,Females,,Coronary Heart Disease,19,,5.784640865,,6.09035436
2012/13,S08000031,,Elective,,45-64 years,,Males,,Coronary Heart Disease,715,,492.3903312,,505.0938563
2012/13,S08000031,,Elective,,45-64 years,,Females,,Coronary Heart Disease,258,,165.6841213,,170.5629783
2012/13,S08000031,,Elective,,65-74 years,,Males,,Coronary Heart Disease,399,,894.7793326,,897.7375541
2012/13,S08000031,,Elective,,65-74 years,,Females,,Coronary Heart Disease,181,,346.743295,,346.3492235
2012/13,S08000031,,Elective,,75plus years,,Males,,Coronary Heart Disease,203,,642.3644073,,597.8547908
2012/13,S08000031,,Elective,,75plus years,,Females,,Coronary Heart Disease,158,,292.8529063,,297.8223048
2012/13,S08000032,,Elective,,0-44 years,,Males,,Coronary Heart Disease,26,,14.42409045,,14.34654173
2012/13,S08000032,,Elective,,0-44 years,,Females,,Coronary Heart Disease,11,,6.041234169,,6.20447658
2012/13,S08000032,,Elective,,45-64 years,,Males,,Coronary Heart Disease,408,,461.8728491,,475.0154663
2012/13,S08000032,,Elective,,45-64 years,,Females,,Coronary Heart Disease,140,,148.5773717,,152.8257311
2012/13,S08000032,,Elective,,65-74 years,,Males,,Coronary Heart Disease,282,,1002.773629,,1009.0546
2012/13,S08000032,,Elective,,65-74 years,,Females,,Coronary Heart Disease,123,,377.6133608,,375.8917595
2012/13,S08000032,,Elective,,75plus years,,Males,,Coronary Heart Disease,136,,762.0328347,,706.2653435
2012/13,S08000032,,Elective,,75plus years,,Females,,Coronary Heart Disease,89,,309.253275,,310.2345709
2012/13,S92000003,d,Elective,,0-44 years,,Males,,Coronary Heart Disease,170,,11.62362166,,12.2632287
2012/13,S92000003,d,Elective,,0-44 years,,Females,,Coronary Heart Disease,65,,4.426502355,,4.478860855
2012/13,S92000003,d,Elective,,45-64 years,,Males,,Coronary Heart Disease,3094,,434.6842638,,441.3826333
2012/13,S92000003,d,Elective,,45-64 years,,Females,,Coronary Heart Disease,985,,132.1950689,,134.4528623
2012/13,S92000003,d,Elective,,65-74 years,,Males,,Coronary Heart Disease,2206,,923.0936609,,931.8011769
2012/13,S92000003,d,Elective,,65-74 years,,Females,,Coronary Heart Disease,963,,358.9145351,,360.0888012
2012/13,S92000003,d,Elective,,75plus years,,Males,,Coronary Heart Disease,1113,,678.6957821,,640.8452485
2012/13,S92000003,d,Elective,,75plus years,,Females,,Coronary Heart Disease,655,,257.4058209,,264.5169578
2012/13,S08000015,,Emergency,,0-44 years,,Males,,Coronary Heart Disease,33,,35.09928844,,37.08806317
2012/13,S08000015,,Emergency,,0-44 years,,Females,,Coronary Heart Disease,11,,11.39105492,,11.14033767
2012/13,S08000015,,Emergency,,45-64 years,,Males,,Coronary Heart Disease,388,,747.4619045,,747.7504323
2012/13,S08000015,,Emergency,,45-64 years,,Females,,Coronary Heart Disease,158,,281.429233,,280.4549957
2012/13,S08000015,,Emergency,,65-74 years,,Males,,Coronary Heart Disease,261,,1322.389421,,1339.551921
2012/13,S08000015,,Emergency,,65-74 years,,Females,,Coronary Heart Disease,126,,572.5450993,,585.4081142
2012/13,S08000015,,Emergency,,75plus years,,Males,,Coronary Heart Disease,294,,2259.973864,,2284.665043
2012/13,S08000015,,Emergency,,75plus years,,Females,,Coronary Heart Disease,330,,1664.145234,,1631.990835
2012/13,S08000016,,Emergency,,0-44 years,,Males,,Coronary Heart Disease,8,,29.87638645,,29.56901031
2012/13,S08000016,,Emergency,,0-44 years,,Females,,Coronary Heart Disease,3,,11.00473203,,8.958509304
2012/13,S08000016,,Emergency,,45-64 years,,Males,,Coronary Heart Disease,111,,648.0616534,,646.2079587
2012/13,S08000016,,Emergency,,45-64 years,,Females,,Coronary Heart Disease,36,,204.3480729,,204.5735807
2012/13,S08000016,,Emergency,,65-74 years,,Males,,Coronary Heart Disease,80,,1199.760048,,1211.712069
2012/13,S08000016,,Emergency,,65-74 years,,Females,,Coronary Heart Disease,45,,625.4343294,,636.8641652
2012/13,S08000016,,Emergency,,75plus years,,Males,,Coronary Heart Disease,119,,2581.344902,,2790.055599
2012/13,S08000016,,Emergency,,75plus years,,Females,,Coronary Heart Disease,110,,1701.732673,,1654.141149
2012/13,S08000017,,Emergency,,0-44 years,,Males,,Coronary Heart Disease,10,,28.245396,,29.82279922
2012/13,S08000017,,Emergency,,0-44 years,,Females,,Coronary Heart Disease,2,,5.590965001,,4.874210552
2012/13,S08000017,,Emergency,,45-64 years,,Males,,Coronary Heart Disease,91,,410.1870633,,407.9372908
2012/13,S08000017,,Emergency,,45-64 years,,Females,,Coronary Heart Disease,39,,168.583038,,166.4215643
